Fichero generado correctamente
Acel_x;Acel_y;Acel_z;Gyro_x;Gyro_y;Gyro_z;Magne_x;Magne_y;Magne_z
0.06;-0.02;0.97;0.85;1.04;2.44;13.39;37.76;-6.79
0.06;-0.02;0.97;0.92;1.04;2.44;13.49;37.90;-6.64
0.06;-0.02;0.97;0.92;1.22;2.56;13.38;38.27;-7.02
0.06;-0.02;0.97;0.92;1.22;2.50;12.74;38.27;-7.37
0.06;-0.02;0.97;0.85;1.28;2.56;13.06;37.95;-6.88
0.06;-0.02;0.97;0.85;1.28;2.50;13.31;38.55;-6.68
0.06;-0.02;0.97;1.16;1.10;2.56;13.37;38.27;-7.29
0.06;-0.02;0.97;0.98;1.40;2.50;13.65;37.89;-6.86
0.06;-0.02;0.97;0.92;1.28;2.44;13.35;37.93;-6.58
0.06;-0.02;0.97;0.92;1.16;2.50;12.92;38.32;-6.16
0.06;-0.02;0.97;0.92;1.16;2.62;13.43;37.98;-7.13
0.06;-0.02;0.97;0.92;1.16;2.50;13.43;38.61;-6.90
0.06;-0.02;0.97;0.92;1.16;2.56;13.39;38.28;-6.98
0.06;-0.02;0.97;0.85;1.10;2.32;12.82;38.61;-6.69
0.06;-0.02;0.97;0.92;1.16;2.38;12.56;38.00;-7.93
0.06;-0.02;0.97;0.92;1.22;2.50;13.26;38.11;-7.19
0.06;-0.02;0.97;0.79;1.22;2.44;13.31;38.51;-6.67
0.06;-0.02;0.97;0.73;1.04;2.50;13.01;38.10;-7.21
0.06;-0.02;0.97;0.73;1.10;2.56;12.99;38.07;-6.53
0.06;-0.02;1.00;0.98;1.16;2.50;13.26;37.77;-7.42
0.06;-0.02;0.97;1.16;1.16;2.44;13.88;38.31;-6.60
0.06;-0.02;0.97;1.10;1.16;2.50;13.02;38.09;-6.95
0.06;-0.02;0.97;1.28;1.22;2.56;13.60;38.62;-7.08
0.06;-0.02;0.97;1.04;1.16;2.32;13.29;37.92;-6.65
0.06;-0.02;0.97;0.79;1.22;2.44;13.17;38.28;-7.18
0.06;-0.02;0.97;0.85;1.16;2.56;13.54;37.95;-6.56
0.06;-0.02;0.97;1.16;1.16;2.50;12.93;38.24;-7.58
0.06;-0.02;0.97;0.98;1.10;2.56;13.32;38.33;-6.97
0.06;-0.02;0.97;1.10;1.10;2.62;13.77;38.26;-7.25
0.06;-0.02;0.97;0.85;1.10;2.50;13.22;38.48;-6.60
