timestamp_pc;Acel_x;Acel_y;Acel_z;Gyro_x;Gyro_y;Gyro_z;Magne_x;Magne_y;Magne_z
2026-02-20 12:40:50.555;0.04;-0.02;0.97;1.22;1.16;2.56;4.39;34.70;-10.10
2026-02-20 12:40:50.559;0.04;-0.02;0.97;1.04;1.16;2.56;3.77;35.50;-10.57
2026-02-20 12:40:50.564;0.04;-0.02;0.97;0.98;1.22;2.56;4.19;34.94;-9.92
2026-02-20 12:40:50.569;0.04;-0.02;0.97;0.98;1.22;2.62;3.89;34.95;-8.44
2026-02-20 12:40:50.573;0.04;-0.02;0.97;0.92;1.28;2.56;4.65;34.63;-9.57
2026-02-20 12:40:50.578;0.04;-0.02;0.97;1.10;1.16;2.56;4.47;34.89;-9.81
2026-02-20 12:40:50.583;0.04;-0.02;0.97;0.92;1.16;2.81;4.47;34.18;-11.00
2026-02-20 12:40:50.587;0.04;-0.02;0.97;0.79;1.22;2.62;4.25;35.21;-9.91
2026-02-20 12:40:50.592;0.04;-0.02;0.97;0.85;1.10;2.50;4.30;34.58;-9.84
2026-02-20 12:40:50.597;0.04;-0.02;0.97;0.92;1.22;2.56;4.68;34.96;-10.52
2026-02-20 12:40:51.548;0.04;-0.02;0.97;1.04;1.16;2.62;4.13;34.74;-10.69
2026-02-20 12:40:51.553;0.04;-0.02;0.97;0.98;1.22;2.69;4.43;34.96;-9.94
2026-02-20 12:40:51.557;0.04;-0.02;0.97;0.92;1.16;2.62;5.03;34.46;-9.01
2026-02-20 12:40:51.562;0.04;-0.02;0.97;0.98;1.28;2.56;4.93;34.92;-10.28
2026-02-20 12:40:51.567;0.04;-0.02;0.97;0.92;1.34;2.44;5.00;34.72;-10.02
2026-02-20 12:40:51.572;0.04;-0.02;0.97;0.92;1.28;2.50;4.91;34.90;-9.68
2026-02-20 12:40:51.576;0.04;-0.02;0.97;1.04;1.22;2.56;4.88;34.51;-10.52
2026-02-20 12:40:51.581;0.04;-0.02;0.97;0.92;1.34;2.62;5.20;34.24;-9.13
2026-02-20 12:40:51.586;0.04;-0.02;0.97;0.98;1.28;2.69;4.88;34.64;-9.69
2026-02-20 12:40:51.591;0.04;-0.02;0.97;0.92;1.22;2.44;4.55;35.25;-10.30
2026-02-20 12:40:52.541;0.04;-0.02;0.97;0.92;1.28;2.69;3.82;34.79;-10.10
2026-02-20 12:40:52.545;0.04;-0.02;0.97;1.04;1.28;2.50;4.80;34.91;-8.73
2026-02-20 12:40:52.550;0.04;-0.02;0.97;1.10;1.16;2.50;4.59;34.85;-10.27
2026-02-20 12:40:52.555;0.04;-0.02;0.97;0.92;1.16;2.50;4.69;34.47;-9.94
2026-02-20 12:40:52.559;0.04;-0.02;0.97;0.98;1.22;2.50;4.76;34.57;-9.86
2026-02-20 12:40:52.564;0.04;-0.02;0.97;0.67;1.22;2.50;4.52;34.46;-8.42
2026-02-20 12:40:52.569;0.04;-0.02;0.97;1.04;1.16;2.44;4.69;34.84;-9.58
2026-02-20 12:40:52.573;0.04;-0.02;0.97;1.04;1.10;2.50;4.80;34.66;-10.02
2026-02-20 12:40:52.578;0.04;-0.02;0.97;0.98;1.34;2.56;4.85;34.50;-9.13
2026-02-20 12:40:52.583;0.04;-0.02;0.97;0.85;1.16;2.69;4.64;35.02;-9.30
2026-02-20 12:40:53.534;0.04;-0.02;0.97;0.92;1.10;2.38;4.58;34.74;-10.07
2026-02-20 12:40:53.538;0.04;-0.02;0.97;0.85;1.16;2.62;4.38;34.30;-9.99
2026-02-20 12:40:53.543;0.04;-0.02;0.97;0.98;1.22;2.69;4.87;34.28;-9.96
2026-02-20 12:40:53.548;0.04;-0.02;0.97;1.16;1.16;2.50;4.64;34.59;-9.97
2026-02-20 12:40:53.552;0.04;-0.02;0.97;0.85;1.22;2.56;5.00;34.48;-9.02
2026-02-20 12:40:53.557;0.04;-0.02;0.97;0.98;1.28;2.69;4.82;34.28;-10.03
2026-02-20 12:40:53.562;0.04;-0.02;0.97;1.28;1.28;2.62;4.80;34.20;-10.24
2026-02-20 12:40:53.566;0.04;-0.02;0.97;1.10;1.22;2.50;5.21;34.88;-9.25
2026-02-20 12:40:53.571;0.04;-0.02;0.97;0.85;1.22;2.56;4.74;33.84;-9.00
2026-02-20 12:40:53.576;0.04;-0.02;0.97;1.16;1.22;2.56;4.05;35.14;-9.11
2026-02-20 12:40:54.527;0.04;-0.02;0.97;1.10;1.28;2.56;4.30;34.23;-9.80
2026-02-20 12:40:54.531;0.04;-0.02;0.97;1.04;1.22;2.56;4.15;34.19;-9.64
2026-02-20 12:40:54.536;0.04;-0.02;0.97;1.04;1.04;2.50;4.39;34.67;-9.36
2026-02-20 12:40:54.541;0.04;-0.02;0.97;1.04;1.22;2.62;4.69;34.53;-8.80
2026-02-20 12:40:54.545;0.04;-0.02;0.97;1.04;1.28;2.62;4.49;34.66;-9.39
2026-02-20 12:40:54.550;0.04;-0.02;0.97;0.85;1.34;2.50;4.76;34.44;-9.88
2026-02-20 12:40:54.555;0.04;-0.02;0.97;0.92;1.10;2.56;4.58;34.47;-10.31
2026-02-20 12:40:54.559;0.04;-0.02;0.97;1.10;1.34;2.56;4.88;34.34;-9.46
2026-02-20 12:40:54.564;0.04;-0.02;0.97;1.04;1.28;2.56;4.33;34.83;-9.14
2026-02-20 12:40:54.569;0.04;-0.02;0.97;1.10;1.22;2.69;4.93;33.98;-9.29
2026-02-20 12:40:55.520;0.04;-0.02;0.97;0.98;1.22;2.62;5.40;34.23;-9.05
2026-02-20 12:40:55.524;0.04;-0.02;0.97;0.92;1.28;2.38;5.26;34.86;-9.40
2026-02-20 12:40:55.529;0.04;-0.02;0.97;0.92;1.40;2.56;5.10;34.25;-10.16
2026-02-20 12:40:55.534;0.04;-0.02;0.97;1.04;1.34;2.56;5.04;34.53;-9.63
2026-02-20 12:40:55.538;0.04;-0.02;0.97;1.10;1.16;2.62;4.54;34.47;-9.31
2026-02-20 12:40:55.543;0.04;-0.02;0.97;1.04;1.22;2.38;5.20;34.50;-9.89
2026-02-20 12:40:55.548;0.04;-0.02;0.97;0.85;1.34;2.62;4.22;34.46;-9.03
2026-02-20 12:40:55.552;0.04;-0.02;0.97;0.98;1.28;2.56;4.58;34.50;-9.79
2026-02-20 12:40:55.557;0.04;-0.02;0.97;0.98;1.28;2.69;4.97;34.22;-9.95
2026-02-20 12:40:55.562;0.04;-0.02;0.97;1.04;1.22;2.50;5.16;34.69;-10.44
2026-02-20 12:40:56.512;0.04;-0.02;0.97;0.85;1.34;2.62;4.75;34.23;-9.62
2026-02-20 12:40:56.517;0.04;-0.02;0.97;0.98;1.34;2.56;4.79;33.92;-8.44
2026-02-20 12:40:56.522;0.04;-0.02;0.97;0.98;1.34;2.62;4.02;34.47;-9.99
2026-02-20 12:40:56.526;0.04;-0.02;0.97;0.92;1.16;2.69;4.27;34.58;-9.36
2026-02-20 12:40:56.531;0.04;-0.02;0.97;1.04;1.22;2.62;4.15;34.51;-8.44
2026-02-20 12:40:56.536;0.04;-0.02;0.97;1.04;1.10;2.56;5.37;34.44;-9.20
2026-02-20 12:40:56.540;0.04;-0.02;0.97;1.22;1.10;2.56;4.10;34.16;-8.85
2026-02-20 12:40:56.545;0.04;-0.02;0.97;1.10;1.22;2.56;4.65;34.53;-9.45
2026-02-20 12:40:56.550;0.04;-0.02;0.97;0.92;1.28;2.56;4.81;34.46;-9.36
2026-02-20 12:40:56.554;0.04;-0.02;0.97;0.79;1.28;2.62;4.41;33.70;-9.62
2026-02-20 12:40:57.505;0.04;-0.02;0.97;0.92;1.53;2.56;4.59;34.56;-10.11
2026-02-20 12:40:57.510;0.04;-0.02;0.97;1.04;1.10;2.69;4.70;33.92;-9.91
2026-02-20 12:40:57.515;0.04;-0.02;0.97;0.79;1.40;2.56;4.68;34.24;-8.90
2026-02-20 12:40:57.519;0.04;-0.02;0.97;1.10;1.22;2.75;4.87;34.30;-9.38
2026-02-20 12:40:57.524;0.04;-0.02;0.97;0.92;1.16;2.56;4.90;34.30;-9.27
2026-02-20 12:40:57.529;0.04;-0.02;0.97;0.92;1.28;2.38;4.42;34.59;-8.59
2026-02-20 12:40:57.534;0.04;-0.02;0.97;1.22;1.16;2.62;4.52;34.17;-8.95
2026-02-20 12:40:57.538;0.04;-0.02;0.97;0.92;1.28;2.50;4.74;34.42;-8.98
2026-02-20 12:40:57.543;0.04;-0.02;0.97;0.85;1.22;2.62;4.97;34.42;-9.77
2026-02-20 12:40:57.548;0.04;-0.02;0.97;0.98;1.34;2.50;4.90;34.63;-9.58
2026-02-20 12:40:58.498;0.04;-0.02;0.97;1.04;1.16;2.56;4.64;34.56;-8.70
2026-02-20 12:40:58.503;0.04;-0.02;0.97;0.79;1.22;2.56;4.31;35.00;-9.28
2026-02-20 12:40:58.507;0.04;-0.02;0.97;1.04;1.16;2.50;4.92;34.67;-9.11
2026-02-20 12:40:58.512;0.04;-0.02;0.97;0.85;1.10;2.56;4.66;34.51;-9.22
2026-02-20 12:40:58.517;0.04;-0.02;0.97;0.98;1.22;2.56;4.03;34.96;-9.66
2026-02-20 12:40:58.521;0.04;-0.02;0.97;1.04;1.16;2.62;3.82;34.70;-9.81
2026-02-20 12:40:58.526;0.04;-0.02;0.97;0.85;1.22;2.69;4.44;34.03;-9.83
2026-02-20 12:40:58.531;0.04;-0.02;0.97;1.16;1.22;2.56;4.79;34.05;-9.68
2026-02-20 12:40:58.535;0.04;-0.02;0.97;0.98;1.10;2.62;5.13;34.38;-9.45
2026-02-20 12:40:58.540;0.04;-0.02;0.97;1.04;1.04;2.50;4.30;34.30;-9.34
2026-02-20 12:40:59.491;0.04;-0.02;0.97;0.92;1.34;2.44;4.22;34.22;-9.67
2026-02-20 12:40:59.496;0.04;-0.02;0.97;1.22;1.34;2.62;5.60;34.58;-9.29
2026-02-20 12:40:59.500;0.04;-0.02;0.97;1.04;1.22;2.62;4.85;34.09;-10.11
2026-02-20 12:40:59.505;0.04;-0.02;0.97;1.04;1.22;2.62;4.38;34.59;-10.33
2026-02-20 12:40:59.510;0.04;-0.02;0.97;0.92;1.22;2.56;4.98;34.56;-9.77
2026-02-20 12:40:59.514;0.04;-0.02;0.97;0.92;1.28;2.38;4.71;34.64;-9.16
2026-02-20 12:40:59.519;0.04;-0.02;0.97;0.98;1.16;2.56;4.25;34.50;-10.61
2026-02-20 12:40:59.524;0.04;-0.02;0.97;0.98;1.40;2.62;4.35;34.74;-8.91
2026-02-20 12:40:59.528;0.04;-0.02;0.97;0.98;1.10;2.69;4.76;34.18;-10.18
2026-02-20 12:40:59.533;0.04;-0.02;0.97;0.85;1.22;2.56;4.44;34.02;-9.17
2026-02-20 12:41:00.484;0.04;-0.02;0.97;0.92;1.10;2.62;5.19;34.11;-10.34
2026-02-20 12:41:00.489;0.04;-0.02;0.97;1.04;1.34;2.50;4.70;34.27;-9.89
2026-02-20 12:41:00.493;0.04;-0.02;0.97;0.85;1.10;2.62;4.33;34.64;-9.19
2026-02-20 12:41:00.498;0.04;-0.02;0.97;1.04;1.28;2.56;4.70;34.11;-9.85
2026-02-20 12:41:00.503;0.04;-0.02;0.97;0.85;1.10;2.50;4.44;35.03;-9.23
2026-02-20 12:41:00.507;0.04;-0.02;0.97;1.22;1.28;2.56;4.00;35.33;-9.57
2026-02-20 12:41:00.512;0.04;-0.02;0.97;0.85;1.22;2.50;4.28;34.59;-10.10
2026-02-20 12:41:00.517;0.04;-0.02;0.97;1.04;1.28;2.69;4.75;34.68;-9.44
2026-02-20 12:41:00.521;0.04;-0.02;0.97;1.10;1.22;2.69;4.91;34.97;-10.64
2026-02-20 12:41:00.526;0.04;-0.02;0.97;0.98;1.22;2.38;4.31;34.38;-9.53
2026-02-20 12:41:01.477;0.04;-0.02;0.97;0.85;1.28;2.69;4.83;34.52;-9.59
2026-02-20 12:41:01.482;0.04;-0.02;0.97;1.16;1.28;2.50;4.64;34.51;-9.05
2026-02-20 12:41:01.487;0.04;-0.02;0.97;1.10;1.22;2.62;4.93;34.18;-9.52
2026-02-20 12:41:01.492;0.04;-0.02;0.97;0.92;1.28;2.62;4.70;34.73;-9.90
2026-02-20 12:41:01.496;0.04;-0.02;0.97;1.04;1.22;2.44;4.69;34.45;-9.96
2026-02-20 12:41:01.501;0.04;-0.02;0.97;0.79;1.16;2.56;4.36;34.47;-9.52
